properties_group,name,type,description,pattern,default,maximum,minimum
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,1998,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,1999,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2000,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2001,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2002,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2003,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2004,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2005,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2006,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2007,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2008,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2009,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2010,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2011,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2012,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2013,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2014,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2015,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2016,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2017,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2018,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2019,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2020,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2021,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2022,array,No description available,,,,
commodity_prices_wheat_seed_dollar_per_square_meter_csv_properties,2023,array,No description available,,,,
_default_values_csv_properties,Unnamed: 0,array,No description available,,,,
_default_values_csv_properties,1866,array,No description available,,,,
_default_values_csv_properties,1867,array,No description available,,,,
_default_values_csv_properties,1868,array,No description available,,,,
_default_values_csv_properties,1869,array,No description available,,,,
_default_values_csv_properties,1870,array,No description available,,,,
_default_values_csv_properties,1871,array,No description available,,,,
_default_values_csv_properties,1872,array,No description available,,,,
_default_values_csv_properties,1873,array,No description available,,,,
_default_values_csv_properties,1874,array,No description available,,,,
_default_values_csv_properties,1875,array,No description available,,,,
_default_values_csv_properties,1876,array,No description available,,,,
_default_values_csv_properties,1877,array,No description available,,,,
_default_values_csv_properties,1878,array,No description available,,,,
_default_values_csv_properties,1879,array,No description available,,,,
_default_values_csv_properties,1880,array,No description available,,,,
_default_values_csv_properties,1881,array,No description available,,,,
_default_values_csv_properties,1882,array,No description available,,,,
_default_values_csv_properties,1883,array,No description available,,,,
_default_values_csv_properties,1884,array,No description available,,,,
_default_values_csv_properties,1885,array,No description available,,,,
_default_values_csv_properties,1886,array,No description available,,,,
_default_values_csv_properties,1887,array,No description available,,,,
_default_values_csv_properties,1888,array,No description available,,,,
_default_values_csv_properties,1889,array,No description available,,,,
_default_values_csv_properties,1890,array,No description available,,,,
_default_values_csv_properties,1891,array,No description available,,,,
_default_values_csv_properties,1892,array,No description available,,,,
_default_values_csv_properties,1893,array,No description available,,,,
_default_values_csv_properties,1894,array,No description available,,,,
_default_values_csv_properties,1895,array,No description available,,,,
_default_values_csv_properties,1896,array,No description available,,,,
_default_values_csv_properties,1897,array,No description available,,,,
_default_values_csv_properties,1898,array,No description available,,,,
_default_values_csv_properties,1899,array,No description available,,,,
_default_values_csv_properties,1900,array,No description available,,,,
_default_values_csv_properties,1901,array,No description available,,,,
_default_values_csv_properties,1902,array,No description available,,,,
_default_values_csv_properties,1903,array,No description available,,,,
_default_values_csv_properties,1904,array,No description available,,,,
_default_values_csv_properties,1905,array,No description available,,,,
_default_values_csv_properties,1906,array,No description available,,,,
_default_values_csv_properties,1907,array,No description available,,,,
_default_values_csv_properties,1908,array,No description available,,,,
_default_values_csv_properties,1909,array,No description available,,,,
_default_values_csv_properties,1910,array,No description available,,,,
_default_values_csv_properties,1911,array,No description available,,,,
_default_values_csv_properties,1912,array,No description available,,,,
_default_values_csv_properties,1913,array,No description available,,,,
_default_values_csv_properties,1914,array,No description available,,,,
_default_values_csv_properties,1915,array,No description available,,,,
_default_values_csv_properties,1916,array,No description available,,,,
_default_values_csv_properties,1917,array,No description available,,,,
_default_values_csv_properties,1918,array,No description available,,,,
_default_values_csv_properties,1919,array,No description available,,,,
_default_values_csv_properties,1920,array,No description available,,,,
_default_values_csv_properties,1921,array,No description available,,,,
_default_values_csv_properties,1922,array,No description available,,,,
_default_values_csv_properties,1923,array,No description available,,,,
_default_values_csv_properties,1924,array,No description available,,,,
_default_values_csv_properties,1925,array,No description available,,,,
_default_values_csv_properties,1926,array,No description available,,,,
_default_values_csv_properties,1927,array,No description available,,,,
_default_values_csv_properties,1928,array,No description available,,,,
_default_values_csv_properties,1929,array,No description available,,,,
_default_values_csv_properties,1930,array,No description available,,,,
_default_values_csv_properties,1931,array,No description available,,,,
_default_values_csv_properties,1932,array,No description available,,,,
_default_values_csv_properties,1933,array,No description available,,,,
_default_values_csv_properties,1934,array,No description available,,,,
_default_values_csv_properties,1935,array,No description available,,,,
_default_values_csv_properties,1936,array,No description available,,,,
_default_values_csv_properties,1937,array,No description available,,,,
_default_values_csv_properties,1938,array,No description available,,,,
_default_values_csv_properties,1939,array,No description available,,,,
_default_values_csv_properties,1940,array,No description available,,,,
_default_values_csv_properties,1941,array,No description available,,,,
_default_values_csv_properties,1942,array,No description available,,,,
_default_values_csv_properties,1943,array,No description available,,,,
_default_values_csv_properties,1944,array,No description available,,,,
_default_values_csv_properties,1945,array,No description available,,,,
_default_values_csv_properties,1946,array,No description available,,,,
_default_values_csv_properties,1947,array,No description available,,,,
_default_values_csv_properties,1948,array,No description available,,,,
_default_values_csv_properties,1949,array,No description available,,,,
_default_values_csv_properties,1950,array,No description available,,,,
_default_values_csv_properties,1951,array,No description available,,,,
_default_values_csv_properties,1952,array,No description available,,,,
_default_values_csv_properties,1953,array,No description available,,,,
_default_values_csv_properties,1954,array,No description available,,,,
_default_values_csv_properties,1955,array,No description available,,,,
_default_values_csv_properties,1956,array,No description available,,,,
_default_values_csv_properties,1957,array,No description available,,,,
_default_values_csv_properties,1958,array,No description available,,,,
_default_values_csv_properties,1959,array,No description available,,,,
_default_values_csv_properties,1960,array,No description available,,,,
_default_values_csv_properties,1961,array,No description available,,,,
_default_values_csv_properties,1962,array,No description available,,,,
_default_values_csv_properties,1963,array,No description available,,,,
_default_values_csv_properties,1964,array,No description available,,,,
_default_values_csv_properties,1965,array,No description available,,,,
_default_values_csv_properties,1966,array,No description available,,,,
_default_values_csv_properties,1967,array,No description available,,,,
_default_values_csv_properties,1968,array,No description available,,,,
_default_values_csv_properties,1969,array,No description available,,,,
_default_values_csv_properties,1970,array,No description available,,,,
_default_values_csv_properties,1971,array,No description available,,,,
_default_values_csv_properties,1972,array,No description available,,,,
_default_values_csv_properties,1973,array,No description available,,,,
_default_values_csv_properties,1974,array,No description available,,,,
_default_values_csv_properties,1975,array,No description available,,,,
_default_values_csv_properties,1976,array,No description available,,,,
_default_values_csv_properties,1977,array,No description available,,,,
_default_values_csv_properties,1978,array,No description available,,,,
_default_values_csv_properties,1979,array,No description available,,,,
_default_values_csv_properties,1980,array,No description available,,,,
_default_values_csv_properties,1981,array,No description available,,,,
_default_values_csv_properties,1982,array,No description available,,,,
_default_values_csv_properties,1983,array,No description available,,,,
_default_values_csv_properties,1984,array,No description available,,,,
_default_values_csv_properties,1985,array,No description available,,,,
_default_values_csv_properties,1986,array,No description available,,,,
_default_values_csv_properties,1987,array,No description available,,,,
_default_values_csv_properties,1988,array,No description available,,,,
_default_values_csv_properties,1989,array,No description available,,,,
_default_values_csv_properties,1990,array,No description available,,,,
_default_values_csv_properties,1991,array,No description available,,,,
_default_values_csv_properties,1992,array,No description available,,,,
_default_values_csv_properties,1993,array,No description available,,,,
_default_values_csv_properties,1994,array,No description available,,,,
_default_values_csv_properties,1995,array,No description available,,,,
_default_values_csv_properties,1996,array,No description available,,,,
_default_values_csv_properties,1997,array,No description available,,,,
_default_values_csv_properties,1998,array,No description available,,,,
_default_values_csv_properties,1999,array,No description available,,,,
_default_values_csv_properties,2000,array,No description available,,,,
_default_values_csv_properties,2001,array,No description available,,,,
_default_values_csv_properties,2002,array,No description available,,,,
_default_values_csv_properties,2003,array,No description available,,,,
_default_values_csv_properties,2004,array,No description available,,,,
_default_values_csv_properties,2005,array,No description available,,,,
_default_values_csv_properties,2006,array,No description available,,,,
_default_values_csv_properties,2007,array,No description available,,,,
_default_values_csv_properties,2008,array,No description available,,,,
_default_values_csv_properties,2009,array,No description available,,,,
_default_values_csv_properties,2010,array,No description available,,,,
_default_values_csv_properties,2011,array,No description available,,,,
_default_values_csv_properties,2012,array,No description available,,,,
_default_values_csv_properties,2013,array,No description available,,,,
_default_values_csv_properties,2014,array,No description available,,,,
_default_values_csv_properties,2015,array,No description available,,,,
_default_values_csv_properties,2016,array,No description available,,,,
_default_values_csv_properties,2017,array,No description available,,,,
_default_values_csv_properties,2018,array,No description available,,,,
_default_values_csv_properties,2019,array,No description available,,,,
_default_values_csv_properties,2020,array,No description available,,,,
_default_values_csv_properties,2021,array,No description available,,,,
_default_values_csv_properties,2022,array,No description available,,,,
_default_values_csv_properties,2023,array,No description available,,,,
_default_values_csv_properties,2024,array,No description available,,,,
_default_values_csv_properties,2025,array,No description available,,,,
capital_costs_land_ha_dollar_per_hectare_csv_properties,fips,array,No description available,,,,
capital_costs_land_ha_dollar_per_hectare_csv_properties,2023,array,No description available,,,,
commodity_prices_bedding_compost_bedded_pack_dollar_per_head_csv_properties,fips,array,No description available,,,,
commodity_prices_bedding_compost_bedded_pack_dollar_per_head_csv_properties,2021,array,No description available,,,,
commodity_prices_bedding_manure_solids_dollar_per_head_csv_properties,fips,array,No description available,,,,
commodity_prices_bedding_manure_solids_dollar_per_head_csv_properties,2021,array,No description available,,,,
commodity_prices_bedding_sand_dollar_per_head_csv_properties,fips,array,No description available,,,,
commodity_prices_bedding_sand_dollar_per_head_csv_properties,2021,array,No description available,,,,
commodity_prices_bedding_sawdust_dollar_per_head_csv_properties,fips,array,No description available,,,,
commodity_prices_bedding_sawdust_dollar_per_head_csv_properties,2021,array,No description available,,,,
commodity_prices_bedding_straw_dollar_per_head_csv_properties,fips,array,No description available,,,,
commodity_prices_bedding_straw_dollar_per_head_csv_properties,2021,array,No description available,,,,
commodity_prices_calf__heifer_2_dollar_per_kilogram_csv_properties,fips,array,No description available,,,,
commodity_prices_calf__heifer_2_dollar_per_kilogram_csv_properties,2017,array,No description available,,,,
commodity_prices_calf__heifer_2_dollar_per_kilogram_csv_properties,2018,array,No description available,,,,
commodity_prices_calf__heifer_2_dollar_per_kilogram_csv_properties,2019,array,No description available,,,,
commodity_prices_calf__heifer_2_dollar_per_kilogram_csv_properties,2020,array,No description available,,,,
commodity_prices_calf__heifer_2_dollar_per_kilogram_csv_properties,2021,array,No description available,,,,
commodity_prices_calf__heifer_2_dollar_per_kilogram_csv_properties,2022,array,No description available,,,,
commodity_prices_calf__heifer_2_dollar_per_kilogram_csv_properties,2023,array,No description available,,,,
commodity_prices_calf__heifer_2_dollar_per_kilogram_csv_properties,2024,array,No description available,,,,
commodity_prices_calf__heifer_2_dollar_per_kilogram_csv_properties,2025,array,No description available,,,,
commodity_prices_carbon_credits_enteric_dollar_per_tonne_CO2e_csv_properties,fips,array,No description available,,,,
commodity_prices_carbon_credits_enteric_dollar_per_tonne_CO2e_csv_properties,2024,array,No description available,,,,
commodity_prices_carbon_credits_soil_dollar_per_tonne_CO2e_csv_properties,fips,array,No description available,,,,
commodity_prices_carbon_credits_soil_dollar_per_tonne_CO2e_csv_properties,2022,array,No description available,,,,
commodity_prices_carbon_credits_soil_dollar_per_tonne_CO2e_csv_properties,2023,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,fips,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1866,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1867,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1868,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1869,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1870,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1871,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1872,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1873,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1874,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1875,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1876,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1877,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1878,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1879,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1880,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1881,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1882,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1883,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1884,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1885,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1886,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1887,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1888,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1889,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1890,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1891,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1892,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1893,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1894,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1895,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1896,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1897,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1898,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1899,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1900,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1901,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1902,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1903,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1904,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1905,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1906,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1907,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1908,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1909,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1910,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1911,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1912,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1913,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1914,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1915,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1916,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1917,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1918,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1919,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1920,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1921,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1922,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1923,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1924,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1925,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1926,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1927,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1928,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1929,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1930,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1931,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1932,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1933,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1934,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1935,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1936,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1937,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1938,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1939,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1940,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1941,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1942,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1943,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1944,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1945,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1946,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1947,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1948,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1949,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1950,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1951,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1952,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1953,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1954,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1955,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1956,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1957,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1958,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1959,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1960,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1961,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1962,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1963,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1964,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1965,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1966,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1967,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1968,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1969,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1970,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1971,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1972,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1973,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1974,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1975,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1976,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1977,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1978,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1979,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1980,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1981,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1982,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1983,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1984,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1985,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1986,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1987,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1988,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1989,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1990,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1991,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1992,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1993,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1994,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1995,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1996,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1997,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1998,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,1999,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2000,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2001,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2002,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2003,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2004,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2005,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2006,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2007,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2008,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2009,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2010,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2011,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2012,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2013,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2014,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2015,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2016,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2017,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2018,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2019,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2020,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2021,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2022,array,No description available,,,,
commodity_prices_corn_grain_dollar_per_kilogram_csv_properties,2023,array,No description available,,,,
commodity_prices_digester_bedding_coproduct_dollars_per_kg_bedding_csv_properties,fips,array,No description available,,,,
commodity_prices_digester_bedding_coproduct_dollars_per_kg_bedding_csv_properties,2024,array,No description available,,,,
commodity_prices_digester_carbon_credits_dollar_per_tonne_CO2e_csv_properties,fips,array,No description available,,,,
commodity_prices_digester_carbon_credits_dollar_per_tonne_CO2e_csv_properties,2024,array,No description available,,,,
commodity_prices_net_fertilizer_anhydrous_ammonia_dollar_per_kilogram_csv_properties,fips,array,No description available,,,,
commodity_prices_net_fertilizer_anhydrous_ammonia_dollar_per_kilogram_csv_properties,1960,array,No description available,,,,
commodity_prices_net_fertilizer_anhydrous_ammonia_dollar_per_kilogram_csv_properties,1961,array,No description available,,,,
commodity_prices_net_fertilizer_anhydrous_ammonia_dollar_per_kilogram_csv_properties,1962,array,No description available,,,,
commodity_prices_net_fertilizer_anhydrous_ammonia_dollar_per_kilogram_csv_properties,1963,array,No description available,,,,
commodity_prices_net_fertilizer_anhydrous_ammonia_dollar_per_kilogram_csv_properties,1964,array,No description available,,,,
commodity_prices_net_fertilizer_anhydrous_ammonia_dollar_per_kilogram_csv_properties,1965,array,No description available,,,,
commodity_prices_net_fertilizer_anhydrous_ammonia_dollar_per_kilogram_csv_properties,1966,array,No description available,,,,
commodity_prices_net_fertilizer_anhydrous_ammonia_dollar_per_kilogram_csv_properties,1967,array,No description available,,,,
commodity_prices_net_fertilizer_anhydrous_ammonia_dollar_per_kilogram_csv_properties,1968,array,No description available,,,,
commodity_prices_net_fertilizer_anhydrous_ammonia_dollar_per_kilogram_csv_properties,1969,array,No description available,,,,
commodity_prices_net_fertilizer_anhydrous_ammonia_dollar_per_kilogram_csv_properties,1970,array,No description available,,,,
